,subject_id,arm_index,best_model,log_spiral_mean_score,poly_spiral_1_mean_score,poly_spiral_2_mean_score,poly_spiral_3_mean_score,poly_spiral_4_mean_score,poly_spiral_5_mean_score,poly_spiral_6_mean_score,poly_spiral_7_mean_score,poly_spiral_8_mean_score
25,21096891,2,poly_spiral_5,0.8210740320129452,0.8245624493899006,0.8159908872407593,0.8134037979440706,0.8186998160663603,0.8326718476324002,0.8199328032560637,0.8227823886197693,0.824291829247365
26,21686603,0,poly_spiral_3,0.8376138656967046,0.7874733921728765,0.8560156401960839,0.8641723636343572,0.8557070477089419,0.8545237956659062,0.850160571998622,0.847748567112952,0.8466742161174372
27,21686603,1,poly_spiral_1,0.6843651981831739,0.7913718564831982,0.7377604887885643,0.7502663991265699,0.7500620700190203,0.7442900820924224,0.7433631326883688,0.7432931909846315,0.7409404960209034
28,21686603,2,poly_spiral_7,0.4767586974971077,0.5225575692367306,0.5515722726347152,0.5451170340562118,0.5689683687144601,0.5775870150479264,0.5810658123978487,0.5873616221842811,0.5843313918598176
29,21686603,3,poly_spiral_7,0.8267018836399466,0.8223406894254641,0.8232565342852108,0.8216262561349252,0.8189699987346672,0.8302142254573243,0.8285154876977912,0.8321219380148805,0.831311007031997
30,21096878,0,poly_spiral_1,0.5551126450080378,0.6154152253901888,0.6009436401194906,0.603002922438357,0.589298005597974,0.5857347561656648,0.565153812863813,0.5630274535476113,0.5422584488046304
31,21096878,1,log_spiral,0.6492370131911099,0.6380214927253491,0.6467129245151809,0.6428784266900271,0.6418863088026732,0.6379000570003295,0.637205171620474,0.6370307912361278,0.6370564209841036
32,21096878,2,poly_spiral_8,0.7564475045232772,0.7112166015700541,0.774357973991912,0.7924086329016515,0.7957030580871113,0.7928984184853269,0.780722520222432,0.7854262310104239,0.7973889451382337
33,21096878,3,poly_spiral_1,-0.12308883246649101,-0.11847081062992348,-0.1709692163015593,-0.21841805074409398,-0.19041501788768717,-0.18082243960502378,-0.17964861149392952,-0.17954666774592987,-0.18079353422367253
34,21096919,0,poly_spiral_7,0.731211969435581,0.6709135434928145,0.7448176398709149,0.7439571590496116,0.7406464164179081,0.7563346195664095,0.753144221994159,0.7576916691621769,0.756623975923909
35,21096919,1,poly_spiral_5,0.6338745980369599,0.6843516198268828,0.6885795084504168,0.7197362888266593,0.7158255816114725,0.7199309624822173,0.7185557345939246,0.7184433937292446,0.7182360539280462
36,20902080,0,poly_spiral_2,0.887804753979179,0.798293077272145,0.9162682220922429,0.889940987552299,0.8872520025477495,0.8885480865615438,0.8894589099824122,0.8904997612882424,0.8901351479117926
37,20902080,1,poly_spiral_3,0.7724099389760917,0.747974324496765,0.7631132312283819,0.7737427367707927,0.76519265638026,0.7490692809633983,0.7518492476500087,0.706192425553047,0.6818352000236221
38,20902081,0,poly_spiral_1,-0.043581207298586624,0.004610495792102879,-0.13278554256660974,-0.13499781692039542,-0.17914359013268713,-0.20499050766425128,-0.19928645771114617,-0.20461271656352878,-0.2054076193239716
39,20902081,1,poly_spiral_3,-7.603723781363336,-5.48109672549009,-5.554470403381543,-4.179668142461574,-4.294923117393596,-4.907478225703679,-5.526243270060853,-5.489253791978536,-6.676500786469984
40,20902040,0,poly_spiral_1,0.31084759042746024,0.3399324059945113,0.32604516075353596,0.317139314249407,0.3118297043776483,0.29242718122956524,0.28882155055017555,0.2820553963629645,0.30862968272452634
41,20902040,1,poly_spiral_7,0.43802566770661255,0.4007385919623554,0.4505134330919454,0.45567769948112624,0.49113443925297845,0.48899513806363215,0.4998552411004857,0.5001893314807585,0.498828411045328
42,20902083,0,poly_spiral_7,-0.9291886678073425,-0.7412823039960773,-0.5655688113799986,-0.5883466783805167,-0.5858244065254523,-0.5585519835744616,-0.5541473228780125,-0.5503652105780488,-0.5576274958650624
43,20902083,1,log_spiral,-1.5926368515678782,-1.6180091159402166,-1.6616723354251923,-1.6692088592122207,-1.632812937092744,-1.6488422722976954,-1.6540708307124787,-1.6557847173545095,-1.6630288980963066
44,20902041,0,poly_spiral_5,0.7588978532647435,0.6857068622599672,0.7787426588278149,0.7982821690929637,0.796011014381175,0.7990656508454991,0.7959965321388215,0.795873659287789,0.7945255640011362
45,20902041,1,poly_spiral_6,0.5253728508158374,0.5069685307735569,0.518735880246241,0.5282969374069255,0.5421276190980078,0.5377480971205825,0.5549778113807776,0.5501040658796805,0.5508994289443894
46,21096940,0,poly_spiral_5,0.2503739070655019,0.1508125112330746,0.3207694286043905,0.32464403483003945,0.3408666058770936,0.3425822848337734,0.33123085835298505,0.33172302108956336,0.3317419014976967
47,21096940,1,log_spiral,0.5107518837525241,0.5018545928561333,0.44209288876403025,0.426771213347761,0.41332592782720706,0.4056686894748352,0.3977661649117321,0.3930678169197502,0.3875790940210112
48,21096940,2,poly_spiral_7,0.4119442654280387,0.4887810009984651,0.48773094133720457,0.4825044677034871,0.4929871538361259,0.5128728756824961,0.5163178057517949,0.5179774877045139,0.5167675295290417
49,21096987,0,log_spiral,0.6835268810535731,0.6505482171431372,0.6693002651021006,0.6653951415074216,0.6643821185164398,0.6745547053235192,0.6684087675896532,0.6677411958102517,0.6805292412548642
50,21096950,0,poly_spiral_7,0.20522486432046996,0.17506592753182204,0.1362983809191068,0.1791772400137167,0.1847191130705206,0.20144798936472907,0.21310163106272986,0.21729969301666097,0.21331168442136164
51,21096950,1,poly_spiral_8,0.4426503676193054,0.43052773527777344,0.4532028594752002,0.4581498320419348,0.4906260515151266,0.4870993190427423,0.49874589486115894,0.4975468575972452,0.4988817524815727
52,21096950,2,poly_spiral_6,0.8003315216019911,0.7378222566894482,0.756704854372956,0.7838387011497477,0.7914630542130285,0.7849338400745813,0.8005761892928305,0.7980494027927084,0.7973996574828229
53,20902086,0,log_spiral,-2.385569642665952,-2.5456233500581162,-2.5102631467700482,-2.575795236498563,-2.6201681089192554,-2.619890267226352,-2.6145378756889586,-2.608591004245738,-2.6044045304850125
54,20902086,1,poly_spiral_4,-5.622342662235396,-5.380147203389483,-5.599554322862313,-6.236495402316797,-5.35731206213761,-5.409140559656946,-5.490223221675721,-5.503981610528708,-5.47395301172556
55,20902078,0,poly_spiral_3,0.7452428681923297,0.7325801507446413,0.7411848328326196,0.7599614459644737,0.7594505671531013,0.7552748196860501,0.7571644777726853,0.7587955457471148,0.7586121372712854
56,21096990,0,log_spiral,-0.04803098129037844,-0.052501540742849115,-0.05580441923903805,-0.0628008707833195,-0.06160683605977113,-0.0599129866632024,-0.0587261923374681,-0.05706229572530495,-0.05695020539732028
57,21096990,1,poly_spiral_1,-0.2215899976894724,-0.1967438934368478,-0.2457839390628152,-0.21905378843792303,-0.21649360122901182,-0.22287857711843867,-0.22941293722151085,-0.2216387671987247,-0.2200479585559556
58,21096990,2,poly_spiral_6,-0.13225130381723876,-0.16405615835184376,-0.12605784875139447,-0.13079428805782137,-0.12246431006031383,-0.12513367177074003,-0.12080318829960233,-0.12119805158023408,-0.12225990250471368
59,20902084,0,poly_spiral_2,-2.1784166146983464,-2.1487132559647697,-1.9865828700526234,-2.096971132877801,-2.0581204664463413,-2.0530740373132876,-2.059658606166549,-2.071348966333865,-2.080543845240246
60,21096787,0,poly_spiral_1,0.29417063131136756,0.3164930506506004,0.2886195994422377,0.29750090350847397,0.31056668916073493,0.2988241844770303,0.28907962648559443,0.29295049940856593,0.2885257008874142
61,21096787,1,poly_spiral_4,-0.2149996880819753,-0.2442933181109011,-0.05275588175274409,-0.038579863995201934,0.004885653645617329,0.003675219828291073,-0.0043915209488095686,-0.006410044366487511,-0.012872143816817425
62,20902077,0,poly_spiral_7,0.3251433542089041,0.23627465049537988,0.3601159326479771,0.33618810406881433,0.358605866735166,0.36673630915317434,0.3660233648933801,0.3692407330025846,0.3662913279125853
63,20902077,1,poly_spiral_8,0.07120593231078759,0.13747054334170503,0.14166903649636484,0.24930655756131626,0.26490556354577266,0.28571663623422905,0.3136966085821507,0.31613805094366026,0.3365907086948557
64,21096976,0,poly_spiral_4,0.7851218026704543,0.8068567040466671,0.8041000879964567,0.8192377940585991,0.8263460242916892,0.8182239589059619,0.8234649968109687,0.8261778244272056,0.8246285361028854
65,21096976,1,poly_spiral_8,0.5918739461187801,0.5458535632749832,0.6000511877119002,0.6011947721150217,0.6012987523689451,0.6048418383257649,0.604103785361369,0.6036053297085912,0.6052315444041275
66,21096790,0,poly_spiral_3,0.7770983657428675,0.7930062532763006,0.7930098179790515,0.7938693980489423,0.7931639204293354,0.7892548861670658,0.7882803688340108,0.7901922346507363,0.7901297563551389
67,21096790,1,poly_spiral_1,0.430050147314235,0.4869410164684585,0.4689920552641023,0.47755222516063967,0.47453906415386155,0.4751802833080427,0.46901998216540164,0.47217834715095997,0.4715476273121618
68,20902064,0,poly_spiral_8,0.9535555664056924,0.8910055565791145,0.9504222656105445,0.9682502767127436,0.9689944802891353,0.9717682557591346,0.9717905823067022,0.9711325885156521,0.9722081070787593
69,20902064,1,poly_spiral_8,0.9256846093925475,0.9427240246270575,0.9412852613227984,0.9468120766970827,0.953442351158752,0.953977807425133,0.9527455394869218,0.9540062438300817,0.9552571539784485
70,21096811,0,log_spiral,0.8757561335305661,0.8467396632314995,0.8728194216728468,0.8668218000992175,0.8705544245364406,0.869052851846387,0.866413302817142,0.8659523162384595,0.8654753544856254
